pre	chr1	1115648	112524817	92	0.1092
pre	chr1	115256529	115256530	3	0.5193
pre	chr1	118492411	249211696	75	0.0835
pre	chr10	1045004	135087496	51	0.1004
pre	chr11	281496	132399006	83	0.1072
pre	chr12	995059	132626671	88	0.1372
pre	chr13	20567969	113898799	32	0.1112
pre	chr14	19553750	105781348	40	0.0967
pre	chr15	22925825	101791540	52	0.1243
pre	chr16	780939	89703774	62	0.125
pre	chr17	263079	78013910	86	0.1218
pre	chr18	5891509	77805781	20	0.1313
pre	chr19	326507	59061208	96	0.1253
pre	chr2	11295683	242082341	90	0.1077
pre	chr20	741813	62273621	33	0.1223
pre	chr21	19716353	47805788	19	0.1555
pre	chr22	17589893	50962113	39	0.1085
pre	chr3	14197953	196846302	58	0.119
pre	chr4	983630	185634121	53	0.1316
pre	chr5	837488	180486426	82	0.1217
pre	chr6	2840816	155569153	53	0.1166
pre	chr7	769375	157333432	79	0.1185
pre	chr8	12879083	145698181	37	0.112
pre	chr9	21202000	140708889	52	0.1171
pre	chrX	2854838	154007565	46	0.1405
after	chr1	1115648	112524817	92	0.1092
after	chr1	115256529	115256530	3	0.5193
after	chr1	118492411	249211696	75	0.0835
after	chr10	1045004	135087496	51	0.1004
after	chr11	281496	132399006	83	0.1072
after	chr12	995059	132626671	88	0.1372
after	chr13	20567969	113898799	32	0.1112
after	chr14	19553750	105781348	40	0.0967
after	chr15	22925825	101791540	52	0.1243
after	chr16	780939	89703774	62	0.125
after	chr17	263079	78013910	86	0.1218
after	chr18	5891509	77805781	20	0.1313
after	chr19	326507	59061208	96	0.1253
after	chr2	11295683	242082341	90	0.1077
after	chr20	741813	62273621	33	0.1223
after	chr21	19716353	47805788	19	0.1555
after	chr22	17589893	50962113	39	0.1085
after	chr3	14197953	196846302	58	0.119
after	chr4	983630	185634121	53	0.1316
after	chr5	837488	180486426	82	0.1217
after	chr6	2840816	155569153	53	0.1166
after	chr7	769375	157333432	79	0.1185
after	chr8	12879083	145698181	37	0.112
after	chr9	21202000	140708889	52	0.1171
after	chrX	2854838	154007565	46	0.1405
